,Stock,Sector,Value,Shares,Sector Proportion,Fund Proportion
0,AAPL,TMT,16759.432194065936,44.08520631476507,0.3630012126200523,
1,ATVI,TMT,6015.62922477993,74.08410653776701,0.13029562565018893,
2,FB,TMT,4496.048353875402,19.27235836627141,0.09738223739065775,
3,PYPL,TMT,7763.984830448303,42.05842130955618,0.16816416424980807,
4,GOOG,TMT,3093.092468070095,2.03222850447309,0.0669948900209726,
5,EA,TMT,2816.4658022682784,20.719973177561204,0.06100328994966136,
6,DIS,TMT,2700.9449845000618,23.362554884877518,0.058501164791294094,
7,ORCL,TMT,2523.4826062156003,45.30489356644003,0.054657415327364935,
8,TDOC,HC,5852.039331986782,26.813467729607247,,
9,GILD,HC,3188.993051424788,43.67885163836042,,
10,SYK,HC,2617.035359806022,12.993571879361205,,
11,EHC,HC,2428.117641083029,34.826701069563484,,
12,TAK,HC,1409.0366525250465,77.08077678325368,,
13,BEAT,HC,1209.5616406029578,28.47367357902945,,
14,MCK,HC,,,,
15,ABBV,HC,1145.2948174901505,11.80594569910246,,
16,MRK,HC,2.1629865982559093e-15,2.7258810836163248e-17,,
17,EXC,PNR,1670.6811637737285,43.326792123273705,0.36156304367935194,
18,FCX,PNR,1536.5206549874313,115.52786713926612,0.33252849001934925,
19,ALB,PNR,1322.619244559902,15.77739730013867,0.2862366860064333,
20,TUSK,PNR,90.89776560702123,75.74813499589057,0.01967178029486545,
21,CMPR,CNR,4165.116833182143,45.258251531337955,0.5113133598031082,
22,COST,CNR,2193.977721035397,6.727103766768375,0.26933461048167384,
23,CVS,CNR,1786.823703787703,27.823476640042013,0.21935202971521803,
24,HII,IND,3179.7348288924018,18.079001254355404,0.25971033012860617,
25,NOC,IND,1915.0687889224055,6.0745693383253165,0.1564165485973164,
26,XPO,IND,1963.7618925876436,23.355873570667956,0.16039364187974287,
27,J,IND,1801.995539188166,20.779468563452536,0.1471810957695022,
28,FDX,IND,1824.1322379550572,10.758668269667988,0.14898914884753495,
29,RYN,IND,1558.6965973226957,54.046344974891745,0.12730923477729741,
30,GLD,E&R,2675.60942771218,14.452597402597402,0.5613577091598567,
31,MCHI,E&R,2090.7087042977464,29.001370654791756,0.4386422908401432,
